pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
1`SFGOV`https://www.sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
2`Accessibility Services | SFGOV`http://sfgov.org/sfhome/accessibility-services`http://sfgov.org/accessibility-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Listen Now See Details Text Only See Details High Contrast See Details The city uses a plugin provided by BrowseAloud to deliver high quality speech to assist those with dyslexia, literacy difficulties, mild visual impairments. The Listen Now features and options are accessed from an easy to use, floating toolbar. Each word is highlighted as it is read aloud and the sentence is highlighted in a contrasting color. This allows users to easily identify what text is being read aloud and navigate.  Get more info By pressing the Text only button, we show only text on a web page to provide our visitor the option of reading content without any additional styling. All City standard web pages provide an alternative high contrast view. The high contrast colors are black and yellow. This makes text easier to see and read. The latest versions of several web browsers (e.g., Internet Explorer, Firefox, Safari) allow users to easily increase the font size for better readability. Try holding down the Ctrl key (Command key on a Macintosh) and press the + (plus) key. You can also decrease the font size by holding down the Ctrl or Command key and pressing the - (minus) key. There are many links throughout the City's web pages to non-web files such as Adobe PDF, Adobe Flash, Microsoft Word, Excel, and Powerpoint. If you need to view these files but do not have the proper application to open them, you may access this material by downloading the necessary viewer software (use links below). . To the extent possible, this site is developed with Web standards in mind. We use proper Hyper-Text Markup Language (HTML) to present information, which makes it possible for assistive technologies such as screen readers to read our content. We use proper headings to separate sections and sub-sections of our site for readability and proper structure. In addition we follow the Web Accessibility Guidelines adopted by the City and County of San Francisco. The City and County of San Francisco recognizes its obligation under the Americans with Disabilities Act (ADA) and other disability civil rights laws to provide equal access to all City and County programs and activities. The City and County of San Francisco has developed consistent and strategic guidelines and features for access to Web pages and services that appear on SFgov.org. These guidelines help ensure a positive user experience and easier accessibility by maintaining a consistent page layout, information architecture, and navigation structure. For further information and to learn more about the regulations governing the City and County of San Francisco Web sites, Visit the SFGov Web Accessibility Web site.                   - Service 24x7     City and County of San Francisco 
3`SFGOV`http://sfgov.org/`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
4`Residents | SFGOV`http://sfgov.org/residents`http://sfgov.org/residents`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Residents  Select Category                   - Service 24x7     City and County of San Francisco 
5`Business | SFGOV`http://sfgov.org/business`http://sfgov.org/business`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Business  Select Category                   - Service 24x7     City and County of San Francisco 
6`Open Gov | SFGOV`http://sfgov.org/open-gov`http://sfgov.org/open-gov`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow OpenGov Select Category                   - Service 24x7     City and County of San Francisco 
7`Visitors | SFGOV`http://sfgov.org/visitors`http://sfgov.org/visitors`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Visitors Select Category                   - Service 24x7     City and County of San Francisco 
8`Online Services | SFGOV`http://sfgov.org/online-services`http://sfgov.org/online-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Online Services  Select Category                   - Service 24x7     City and County of San Francisco 
9`Help | SFGOV`http://sfgov.org/help`http://sfgov.org/help`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Dial 3-1-1 (within SF only) or (415) 701-2311; TTY (415) 701-2323 24 hours a day, 7 days a week, 365 days a year or use our online form.                     - Service 24x7     City and County of San Francisco 
10`Accessibility Services | SFGOV`http://sfgov.org/sfhome/accessibility-services`http://sfgov.org/accessibility-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Listen Now See Details Text Only See Details High Contrast See Details The city uses a plugin provided by BrowseAloud to deliver high quality speech to assist those with dyslexia, literacy difficulties, mild visual impairments. The Listen Now features and options are accessed from an easy to use, floating toolbar. Each word is highlighted as it is read aloud and the sentence is highlighted in a contrasting color. This allows users to easily identify what text is being read aloud and navigate.  Get more info By pressing the Text only button, we show only text on a web page to provide our visitor the option of reading content without any additional styling. All City standard web pages provide an alternative high contrast view. The high contrast colors are black and yellow. This makes text easier to see and read. The latest versions of several web browsers (e.g., Internet Explorer, Firefox, Safari) allow users to easily increase the font size for better readability. Try holding down the Ctrl key (Command key on a Macintosh) and press the + (plus) key. You can also decrease the font size by holding down the Ctrl or Command key and pressing the - (minus) key. There are many links throughout the City's web pages to non-web files such as Adobe PDF, Adobe Flash, Microsoft Word, Excel, and Powerpoint. If you need to view these files but do not have the proper application to open them, you may access this material by downloading the necessary viewer software (use links below). . To the extent possible, this site is developed with Web standards in mind. We use proper Hyper-Text Markup Language (HTML) to present information, which makes it possible for assistive technologies such as screen readers to read our content. We use proper headings to separate sections and sub-sections of our site for readability and proper structure. In addition we follow the Web Accessibility Guidelines adopted by the City and County of San Francisco. The City and County of San Francisco recognizes its obligation under the Americans with Disabilities Act (ADA) and other disability civil rights laws to provide equal access to all City and County programs and activities. The City and County of San Francisco has developed consistent and strategic guidelines and features for access to Web pages and services that appear on SFgov.org. These guidelines help ensure a positive user experience and easier accessibility by maintaining a consistent page layout, information architecture, and navigation structure. For further information and to learn more about the regulations governing the City and County of San Francisco Web sites, Visit the SFGov Web Accessibility Web site.                   - Service 24x7     City and County of San Francisco 
11`SFGOV`http://sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
12`SFGOV`http://sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
13`SFGOV`http://sfgov.org/`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
14`SFGOV`http://sfgov.org/`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
15`Residents | SFGOV`http://sfgov.org/residents`http://sfgov.org/residents`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Residents  Select Category                   - Service 24x7     City and County of San Francisco 
16`Business | SFGOV`http://sfgov.org/business`http://sfgov.org/business`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Business  Select Category                   - Service 24x7     City and County of San Francisco 
17`Open Gov | SFGOV`http://sfgov.org/open-gov`http://sfgov.org/open-gov`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow OpenGov Select Category                   - Service 24x7     City and County of San Francisco 
18`Visitors | SFGOV`http://sfgov.org/visitors`http://sfgov.org/visitors`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Visitors Select Category                   - Service 24x7     City and County of San Francisco 
19`Online Services | SFGOV`http://sfgov.org/online-services`http://sfgov.org/online-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Online Services  Select Category                   - Service 24x7     City and County of San Francisco 
20`Help | SFGOV`http://sfgov.org/help`http://sfgov.org/help`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Dial 3-1-1 (within SF only) or (415) 701-2311; TTY (415) 701-2323 24 hours a day, 7 days a week, 365 days a year or use our online form.                     - Service 24x7     City and County of San Francisco 
21`Open Gov Search | SFGOV`http://sfgov.org/find-your-services`http://sfgov.org/find-your-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow                   - Service 24x7     City and County of San Francisco 
22`Mobile | SFGOV`http://sfgov.org/mobile`http://sfgov.org/mobile`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow   The SFGov mobile app offer a simplified access to a variety of information and services including the following: Access news and updates about City key policies and initiatives. Connect with your City government via a variety of social media channels. Stream audio and/or video content along with other multimedia.  SFGov Mobile app can be accessed via a variety of mobile devices using one of the following methods: Download the application on the Android Market using any Android-powered phone. Download the application on the Apple App Store using any Apple iPhones.   The DataSF App showcase lists applications developed by private third parties using the City's public data.                   - Service 24x7     City and County of San Francisco 
23`Mobile | SFGOV`http://sfgov.org/mobile`http://sfgov.org/mobile`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow   The SFGov mobile app offer a simplified access to a variety of information and services including the following: Access news and updates about City key policies and initiatives. Connect with your City government via a variety of social media channels. Stream audio and/or video content along with other multimedia.  SFGov Mobile app can be accessed via a variety of mobile devices using one of the following methods: Download the application on the Android Market using any Android-powered phone. Download the application on the Apple App Store using any Apple iPhones.   The DataSF App showcase lists applications developed by private third parties using the City's public data.                   - Service 24x7     City and County of San Francisco 
24`Mobile | SFGOV`http://sfgov.org/mobile`http://sfgov.org/mobile`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow   The SFGov mobile app offer a simplified access to a variety of information and services including the following: Access news and updates about City key policies and initiatives. Connect with your City government via a variety of social media channels. Stream audio and/or video content along with other multimedia.  SFGov Mobile app can be accessed via a variety of mobile devices using one of the following methods: Download the application on the Android Market using any Android-powered phone. Download the application on the Apple App Store using any Apple iPhones.   The DataSF App showcase lists applications developed by private third parties using the City's public data.                   - Service 24x7     City and County of San Francisco 
25`Home - SF311`http://sfgov.org/sf311`https://sf311.org/`For a police, fire, medical, or other emergency, call 911 immediately   Service Requests by Neighborhood & 311 Call Center Metrics 
26`SFGOV`http://www.sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
27`SFGOV`http://sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
28`Residents | SFGOV`http://sfgov.org/residents`http://sfgov.org/residents`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Residents  Select Category                   - Service 24x7     City and County of San Francisco 
29`Business | SFGOV`http://sfgov.org/business`http://sfgov.org/business`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Business  Select Category                   - Service 24x7     City and County of San Francisco 
30`Open Gov | SFGOV`http://sfgov.org/open-gov`http://sfgov.org/open-gov`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow OpenGov Select Category                   - Service 24x7     City and County of San Francisco 
31`Visitors | SFGOV`http://sfgov.org/visitors`http://sfgov.org/visitors`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Visitors Select Category                   - Service 24x7     City and County of San Francisco 
32`Online Services | SFGOV`http://sfgov.org/online-services`http://sfgov.org/online-services`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Online Services  Select Category                   - Service 24x7     City and County of San Francisco 
33`Help | SFGOV`http://sfgov.org/help`http://sfgov.org/help`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow Dial 3-1-1 (within SF only) or (415) 701-2311; TTY (415) 701-2323 24 hours a day, 7 days a week, 365 days a year or use our online form.                     - Service 24x7     City and County of San Francisco 
34`SFGOV`http://sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
35`SFGOV`http://sfgov.org`http://sfgov.org/`This website offers functionality that requires JavaScript. To easily turn ON JavaScript you can follow the instructions provided on the following websites: Enable JavaScript and WikiHow  	   Edwin M. Lee, the 43rd Mayor of San Francisco, passed away on December 12, 2017. Mayor Lee dedicated his life to helping others and serving the people of San Francisco. During his three decades of public service, Mayor Lee was a steadfast advocate for the powerless, a voice for the overlooked and a person who fought for those in need. He was a loving husband, caring father and cherished friend. He will be dearly missed.                    - Service 24x7     City and County of San Francisco 
